Table 80,,,,
Full-time Law Enforcement Employees ,,,,
"by State by Metropolitan and Nonmetropolitan Counties, 2014",,,,
State,County,police,"Total
officers","Total
civilians"
,Butts,80,46,34
,Carroll,191,108,83
,Chattahoochee,12,7,5
,Clarke,172,146,26
,Clayton County Police Department,472,361,111
,Cobb County Police Department,666,610,56
,Columbia,367,271,96
,Coweta,247,154,93
,Crawford,34,16,18
,Dawson,104,57,47
,DeKalb County Police Department,"1,123",887,236
,Dougherty,234,108,126
,Douglas,319,284,35
,Echols,9,8,1
,Effingham,169,107,62
,Fayette,220,142,78
,Floyd,137,88,49
,Floyd County Police Department,79,74,5
,Forsyth,368,311,57
,Fulton,947,815,132
,Glynn County Police Department,132,117,15
,Gwinnett County Police Department,946,685,261
,Hall,411,266,145
,Haralson,73,63,10
,Harris,52,50,2
,Heard,38,21,17
,Henry,263,147,116
,Henry County Police Department,240,206,34
,Jones,76,53,23
,Lee,75,49,26
,Lincoln,28,12,16
,Long,29,24,5
,McDuffie,46,21,25
,McIntosh,72,42,30
,Monroe,95,58,37
,Murray,77,46,31
,Muscogee,354,326,28
,Newton,245,149,96
,Oglethorpe,46,18,28
,Paulding,270,232,38
,Peach,64,33,31
,Pickens,76,65,11
,Pike,50,25,25
,Pulaski,38,26,12
,Spalding,183,147,36
,Twiggs,41,20,21
,Walker,115,75,40
,Worth,33,22,11
GEORGIA-Nonmetropolitan Counties,Baldwin,120,58,62
,Banks,49,47,2
,Berrien,46,22,24
,Bleckley,45,14,31
,Calhoun,14,5,9
,Camden,114,66,48
,Clinch,21,11,10
,Coffee,114,52,62
,Cook,48,42,6
,Dodge,54,18,36
,Early,51,24,27
,Elbert,56,29,27
,Emanuel,38,34,4
,Evans,19,10,9
,Fannin,49,47,2
,Franklin,59,35,24
,Gilmer,94,76,18
,Gordon,117,81,36
,Grady,22,17,5
,Greene,52,32,20
,Habersham,43,40,3
,Irwin,21,13,8
,Jackson,170,98,72
,Jefferson,49,46,3
,Laurens,109,60,49
,Macon,22,21,1
,Mitchell,54,24,30
,Polk,73,35,38
,Polk County Police Department,45,42,3
,Putnam,67,33,34
,Quitman,7,5,2
,Rabun,53,51,2
,Randolph,27,13,14
,Schley,9,4,5
,Screven,24,23,1
,Seminole,30,16,14
,Stephens,67,37,30
,Sumter,144,48,96
,Talbot,16,11,5
,Tattnall,56,20,36
,Taylor,22,11,11
,Tift,114,64,50
,Towns,35,18,17
,Treutlen,21,11,10
,Troup,80,71,9
,Turner,36,17,19
,Union,43,38,5
,Upson,63,31,32
,Ware,125,45,80
,Washington,26,23,3
,Wayne,55,30,25
,Webster,5,4,1
,Wilkes,41,23,18
,Wilkinson,30,18,12
HAWAII-Metropolitan Counties,Maui Police Department,467,358,109
HAWAII-Nonmetropolitan Counties,Hawaii Police Department,543,420,123
,Kauai Police Department,188,135,53
IDAHO-Metropolitan Counties,Ada,425,136,289
,Bannock,66,42,24
,Boise,20,11,9
,Bonneville,102,65,37
,Butte,12,4,8
,Canyon,162,79,83
,Franklin,13,8,5
,Gem,24,13,11
,Jefferson,24,18,6
,Kootenai,167,95,72
,Nez Perce,41,22,19
,Owyhee,21,14,7
IDAHO-Nonmetropolitan Counties,Adams,18,11,7
,Bear Lake,12,6,6
,Benewah,15,8,7
,Bingham,53,34,19
,Blaine,27,17,10
,Bonner,82,66,16
,Boundary,20,9,11
,Camas,6,4,2
,Caribou,16,9,7
,Cassia,54,35,19
,Clark,9,3,6
,Clearwater,23,15,8
,Custer,13,7,6
,Elmore,37,20,17
,Fremont,26,19,7
,Gooding,19,13,6
,Idaho,31,20,11
,Jerome,22,17,5
,Latah,39,26,13
,Lemhi,10,9,1
,Lewis,10,5,5
,Lincoln,9,6,3
,Madison,35,22,13
,Minidoka,29,18,11
,Oneida,13,8,5
,Payette,31,16,15
,Power,17,9,8
,Shoshone,35,15,20
,Teton,18,10,8
,Twin Falls,69,43,26
,Valley,28,16,12
,Washington,15,9,6
ILLINOIS-Metropolitan Counties,Cook,"6,645","1,998","4,647"
,Ford,27,8,19
,Grundy,46,30,16
,Jackson,79,27,52
,Kane,275,84,191
,Kankakee,197,56,141
,Macoupin,44,31,13
,Madison,159,77,82
,Marshall,18,9,9
,McHenry,378,104,274
,McLean,121,44,77
,Piatt,33,12,21
,Sangamon,193,63,130
,Vermilion,44,39,5
,Will,597,466,131
,Williamson,90,28,62
,Winnebago,336,106,230
ILLINOIS-Nonmetropolitan Counties,Carroll,22,9,13
,Clay,16,10,6
,Cumberland,14,5,9
,Edgar,19,9,10
,Effingham,50,19,31
,Fulton,42,21,21
,Gallatin,3,3,0
,Jo Daviess,36,18,18
,Knox,62,22,40
,Mason,22,9,13
,McDonough,25,13,12
,Saline,43,11,32
,Shelby,28,14,14
INDIANA-Metropolitan Counties,Boone,85,29,56
,Brown,40,14,26
,Carroll,19,10,9
,Delaware,99,41,58
,Elkhart,182,69,113
,Floyd,98,30,68
,Hancock,74,40,34
,Hendricks,103,45,58
,Johnson,129,115,14
,Newton,38,16,22
,Porter,79,67,12
,Posey,31,13,18
,Shelby,91,30,61
,St. Joseph,289,112,177
,Sullivan,36,10,26
,Tippecanoe,136,50,86
,Vanderburgh,248,108,140
,Vigo,43,39,4
,Warrick,79,38,41
INDIANA-Nonmetropolitan Counties,Blackford,32,9,23
,Cass,54,19,35
,Clinton,58,19,39
,Crawford,16,7,9
,Daviess,65,19,46
,Franklin,29,13,16
,Gibson,42,17,25
,Grant,107,45,62
,Greene,44,18,26
,Henry,56,28,28
,Jay,48,14,34
,Jennings,18,15,3
,Kosciusko,78,36,42
,LaGrange,54,17,37
,Lawrence,71,25,46
,Miami,49,16,33
,Montgomery,70,23,47
,Parke,35,23,12
,Steuben,51,21,30
,Tipton,29,13,16
,Wabash,37,16,21
,White,35,15,20
IOWA-Metropolitan Counties,Benton,30,12,18
,Black Hawk,136,102,34
,Bremer,31,11,20
,Dallas,67,22,45
,Grundy,16,12,4
,Guthrie,10,6,4
,Harrison,19,10,9
,Johnson,89,67,22
,Jones,24,10,14
,Linn,185,119,66
,Mills,26,11,15
,Plymouth,30,10,20
,Polk,459,139,320
,Pottawattamie,196,54,142
,Scott,152,43,109
,Story,84,31,53
,Washington,32,17,15
,Woodbury,112,36,76
IOWA-Nonmetropolitan Counties,Adair,14,5,9
,Adams,11,6,5
,Allamakee,16,9,7
,Appanoose,15,7,8
,Audubon,10,6,4
,Boone,28,11,17
,Buena Vista,35,13,22
,Butler,19,11,8
,Calhoun,7,6,1
,Carroll,15,9,6
,Cass,12,9,3
,Cedar,40,12,28
,Cerro Gordo,70,19,51
,Cherokee,19,6,13
,Chickasaw,14,8,6
,Clarke,18,6,12
,Clay,23,10,13
,Clayton,28,11,17
,Clinton,43,25,18
,Crawford,13,10,3
,Decatur,11,6,5
,Delaware,18,13,5
,Des Moines,48,20,28
,Dickinson,19,9,10
,Emmet,17,8,9
,Fayette,39,12,27
,Floyd,18,11,7
,Franklin,10,7,3
,Fremont,19,8,11
,Greene,16,7,9
,Hamilton,29,10,19
,Hancock,8,7,1
,Hardin,27,10,17
,Henry,28,11,17
,Howard,15,8,7
,Humboldt,13,8,5
,Ida,17,10,7
,Iowa,28,12,16
,Jackson,17,10,7
,Jasper,46,16,30
,Keokuk,10,6,4
,Kossuth,14,10,4
,Lee,32,15,17
,Louisa,28,11,17
,Lucas,11,4,7
,Lyon,24,11,13
,Mahaska,25,9,16
,Marion,35,13,22
,Marshall,52,18,34
,Mitchell,11,6,5
,Monona,18,8,10
,Monroe,14,5,9
,Muscatine,61,22,39
,O'Brien,28,9,19
,Osceola,13,9,4
,Page,9,8,1
,Palo Alto,15,8,7
,Pocahontas,16,7,9
,Poweshiek,24,11,13
,Ringgold,11,6,5
,Sac,19,9,10
,Shelby,15,9,6
,Sioux,40,14,26
,Tama,22,13,9
,Taylor,11,7,4
,Union,12,6,6
,Van Buren,11,5,6
,Wapello,40,11,29
,Wayne,15,6,9
,Webster,34,16,18
,Winnebago,10,6,4
,Winneshiek,23,10,13
,Worth,24,12,12
KANSAS-Metropolitan Counties,Butler,101,61,40
,Doniphan,16,5,11
,Douglas,137,76,61
,Harvey,40,19,21
,Jackson,40,20,20
,Jefferson,40,26,14
,Johnson,593,461,132
,Kingman,21,8,13
,Leavenworth,98,77,21
,Linn,22,11,11
,Miami,40,22,18
,Pottawatomie,39,28,11
,Riley County Police Department,198,103,95
,Sedgwick,510,176,334
,Shawnee,169,99,70
,Sumner,57,25,32
,Wabaunsee,20,8,12
,Wyandotte,240,178,62
KANSAS-Nonmetropolitan Counties,Allen,25,9,16
,Anderson,30,9,21
,Atchison,29,13,16
,Barber,10,4,6
,Barton,43,18,25
,Brown,23,8,15
,Chase,9,5,4
,Chautauqua,15,6,9
,Cherokee,48,21,27
,Cheyenne,5,4,1
,Clark,11,6,5
,Clay,20,8,12
,Cloud,25,8,17
,Coffey,32,14,18
,Cowley,50,25,25
,Crawford,56,30,26
,Decatur,3,3,0
,Dickinson,30,18,12
,Edwards,10,6,4
