Table 80,,,,
Full-time Law Enforcement Employees ,,,,
"by State by Metropolitan and Nonmetropolitan Counties, 2014",,,,
State,County,police,"Total
officers","Total
civilians"
,Pipestone,22,12,10
,Pope,14,7,7
,Red Lake,10,7,3
,Redwood,26,12,14
,Renville,32,13,19
,Rice,51,25,26
,Rock,16,11,5
,Roseau,19,9,10
,Steele,26,21,5
,Stevens,14,6,8
,Swift,16,9,7
,Todd,30,14,16
,Traverse,11,5,6
,Wadena,21,9,12
,Waseca,26,11,15
,Watonwan,21,8,13
,Wilkin,17,6,11
,Winona,61,21,40
,Yellow Medicine,21,10,11
MISSISSIPPI-Metropolitan Counties,Hancock,120,57,63
,Harrison,330,110,220
,Hinds,448,125,323
,Marshall,56,31,25
MISSISSIPPI-Nonmetropolitan Counties,Adams,67,34,33
,Choctaw,14,7,7
,Claiborne,27,10,17
,Clay,35,11,24
,George,17,15,2
,Grenada,18,13,5
,Itawamba,23,12,11
,Jefferson,60,10,50
,Jones,115,71,44
,Kemper,11,9,2
,Lincoln,44,20,24
,Oktibbeha,53,28,25
,Panola,74,39,35
,Scott,66,25,41
,Stone,23,19,4
,Tishomingo,29,12,17
,Warren,42,38,4
,Washington,51,38,13
MISSOURI-Metropolitan Counties,Andrew,25,12,13
,Bates,43,20,23
,Bollinger,14,10,4
,Boone,70,56,14
,Buchanan,104,78,26
,Caldwell,45,10,35
,Callaway,25,22,3
,Cape Girardeau,75,46,29
,Cass,93,74,19
,Christian,80,55,25
,Clay,186,117,69
,Clinton,19,12,7
,Cole,80,54,26
,Dallas,19,15,4
,DeKalb,12,6,6
,Franklin,137,113,24
,Greene,347,125,222
,Jackson,128,95,33
,Jasper,133,88,45
,Jefferson,213,143,70
,Lafayette,41,39,2
,Lincoln,90,47,43
,McDonald,29,21,8
,Moniteau,13,8,5
,Newton,70,35,35
,Osage,13,9,4
,Platte,118,80,38
,Polk,44,16,28
,Ray,28,12,16
,St. Charles,229,156,73
,St. Louis County Police Department,"1,082",815,267
,Warren,61,37,24
,Webster,32,17,15
MISSOURI-Nonmetropolitan Counties,Adair,23,11,12
,Atchison,9,4,5
,Audrain,43,34,9
,Barry,36,20,16
,Benton,23,15,8
,Butler,41,18,23
,Camden,103,68,35
,Carroll,9,8,1
,Carter,12,7,5
,Cedar,37,11,26
,Clark,14,7,7
,Cooper,9,8,1
,Crawford,39,25,14
,Daviess,7,6,1
,Dent,17,12,5
,Douglas,11,6,5
,Dunklin,12,10,2
,Gasconade,13,12,1
,Gentry,5,5,0
,Grundy,14,4,10
,Harrison,5,5,0
,Henry,39,27,12
,Hickory,14,8,6
,Holt,8,4,4
,Howard,11,8,3
,Howell,35,28,7
,Iron,15,8,7
,Johnson,58,29,29
,Knox,4,3,1
,Laclede,31,24,7
,Lawrence,38,28,10
,Lewis,12,6,6
,Linn,9,8,1
,Livingston,8,7,1
,Macon,13,11,2
,Madison,5,5,0
,Maries,8,6,2
,Marion,38,17,21
,Mercer,7,3,4
,Miller,18,15,3
,Mississippi,23,8,15
,Monroe,9,8,1
,Montgomery,18,16,2
,Morgan,53,29,24
,New Madrid,22,12,10
,Nodaway,13,11,2
,Oregon,11,6,5
,Ozark,14,8,6
,Pemiscot,33,16,17
,Perry,33,23,10
,Pettis,49,22,27
,Phelps,60,26,34
,Pike,29,12,17
,Pulaski,47,25,22
,Putnam,4,3,1
,Ralls,9,8,1
,Randolph,38,24,14
,Reynolds,10,9,1
,Ripley,11,9,2
,Saline,33,21,12
,Schuyler,7,3,4
,Scotland,5,2,3
,Scott,43,22,21
,Shannon,7,3,4
,Shelby,10,5,5
,St. Clair,67,23,44
,Ste. Genevieve,55,42,13
,St. Francois,70,56,14
,Stoddard,23,10,13
,Stone,57,48,9
,Sullivan,5,4,1
,Taney,54,39,15
,Texas,11,10,1
,Vernon,30,20,10
,Washington,28,19,9
,Wayne,17,7,10
,Worth,4,3,1
,Wright,13,6,7
MONTANA-Metropolitan Counties,Golden Valley,1,1,0
,Missoula,64,47,17
MONTANA-Nonmetropolitan Counties,Beaverhead,18,7,11
,Big Horn,33,17,16
,Blaine,14,8,6
,Broadwater,23,8,15
,Daniels,6,3,3
,Deer Lodge,19,19,0
,Fallon,11,4,7
,Fergus,21,9,12
,Flathead,112,55,57
,Garfield,3,2,1
,Hill,28,12,16
,Jefferson,25,13,12
,Judith Basin,5,4,1
,Liberty,10,5,5
,Madison,16,10,6
,Meagher,9,4,5
,Musselshell,8,8,0
,Phillips,11,6,5
,Richland,30,9,21
,Rosebud,24,13,11
,Sanders,16,13,3
,Sheridan,9,7,2
,Silver Bow,96,49,47
,Stillwater,14,9,5
,Sweet Grass,13,7,6
,Teton,12,9,3
,Toole,22,14,8
,Valley,18,8,10
,Wheatland,6,6,0
NEBRASKA-Metropolitan Counties,Cass,68,49,19
,Dakota,16,15,1
,Dixon,15,7,8
,Douglas,196,124,72
,Hall,39,31,8
,Hamilton,21,9,12
,Howard,13,6,7
,Lancaster,101,83,18
,Merrick,13,7,6
,Sarpy,201,134,67
,Saunders,20,11,9
,Seward,25,23,2
,Washington,48,24,24
NEBRASKA-Nonmetropolitan Counties,Adams,35,18,17
,Antelope,13,4,9
,Arthur,1,1,0
,Banner,1,1,0
,Blaine,1,1,0
,Boone,13,5,8
,Box Butte,18,5,13
,Boyd,2,2,0
,Brown,9,5,4
,Buffalo,46,27,19
,Burt,4,4,0
,Butler,8,8,0
,Cedar,6,6,0
,Chase,8,4,4
,Cherry,5,4,1
,Cheyenne,20,9,11
,Clay,11,7,4
,Colfax,17,8,9
,Cuming,6,5,1
,Custer,7,6,1
,Dawes,13,7,6
,Dawson,64,29,35
,Deuel,5,4,1
,Dodge,24,21,3
,Dundy,8,4,4
,Fillmore,11,6,5
,Franklin,7,3,4
,Frontier,8,5,3
,Furnas,14,7,7
,Gage,28,16,12
,Garden,11,5,6
,Garfield,2,2,0
,Gosper,5,4,1
,Grant,1,1,0
,Greeley,3,2,1
,Harlan,7,3,4
,Hayes,1,1,0
,Hitchcock,8,4,4
,Holt,12,5,7
,Hooker,2,2,0
,Jefferson,16,8,8
,Johnson,12,6,6
,Kearney,12,7,5
,Keith,16,8,8
,Keya Paha,1,1,0
,Kimball,10,4,6
,Knox,13,4,9
,Lincoln,53,23,30
,Logan,2,2,0
,Loup,1,1,0
,Madison,59,32,27
,McPherson,1,1,0
,Morrill,10,5,5
,Nance,11,7,4
,Nemaha,10,9,1
,Nuckolls,7,4,3
,Otoe,27,15,12
,Pawnee,5,4,1
,Perkins,9,4,5
,Phelps,25,6,19
,Pierce,7,4,3
,Platte,47,19,28
,Polk,11,6,5
,Red Willow,11,8,3
,Richardson,7,6,1
,Rock,7,3,4
,Saline,22,14,8
,Scotts Bluff,25,18,7
,Sheridan,6,5,1
,Sherman,6,5,1
,Sioux,1,1,0
,Stanton,8,7,1
,Thayer,11,7,4
,Thomas,1,1,0
,Thurston,17,8,9
,Valley,9,4,5
,Webster,9,6,3
,Wheeler,2,2,0
,York,24,10,14
NEVADA-Metropolitan Counties,Carson City,133,93,40
,Storey,24,23,1
,Washoe,675,411,264
NEVADA-Nonmetropolitan Counties,Churchill,45,37,8
,Douglas,117,104,13
,Elko,71,57,14
,Esmeralda,52,12,40
,Eureka,19,12,7
,Humboldt,55,36,19
,Lander,36,24,12
,Lincoln,31,26,5
,Lyon,103,77,26
,Nye,126,96,30
,Pershing,20,13,7
,White Pine,33,27,6
NEW HAMPSHIRE-Metropolitan Counties,Rockingham,49,25,24
NEW HAMPSHIRE-Nonmetropolitan Counties,Carroll,26,13,13
,Cheshire,21,10,11
,Merrimack,28,16,12
NEW JERSEY-Metropolitan Counties,Atlantic,148,125,23
,Bergen,505,427,78
,Bergen County Police Department,181,91,90
,Burlington,87,70,17
,Camden,179,149,30
,Camden County Police Department,477,391,86
,Cape May,164,132,32
,Cumberland,66,59,7
,Essex,432,363,69
,Gloucester,102,88,14
,Hudson,336,241,95
,Hunterdon,24,20,4
,Mercer,189,148,41
,Middlesex,221,182,39
,Monmouth,622,429,193
,Morris,129,96,33
,Ocean,259,138,121
,Passaic,639,539,100
,Salem,251,205,46
,Somerset,207,167,40
,Sussex,148,119,29
,Union,161,120,41
,Warren,23,19,4
NEW MEXICO-Metropolitan Counties,Bernalillo,382,301,81
,Dona Ana,250,129,121
,Santa Fe,112,87,25
,Torrance,16,13,3
NEW MEXICO-Nonmetropolitan Counties,Chaves,46,37,9
,Cibola,24,18,6
,Curry,30,19,11
,Eddy,68,57,11
,Lincoln,29,20,9
,Los Alamos,1,1,0
,Luna,35,30,5
,Otero,59,38,21
,Quay,8,7,1
,Rio Arriba,30,27,3
,Roosevelt,17,14,3
,Sierra,13,11,2
,Socorro,14,10,4
,Taos,31,25,6
NEW YORK-Metropolitan Counties,Albany,163,114,49
,Broome,65,56,9
,Chemung,47,43,4
,Dutchess,127,104,23
,Erie,179,136,43
,Herkimer,13,3,10
,Jefferson,59,42,17
,Livingston,72,49,23
,Madison,37,28,9
,Monroe,351,294,57
,Nassau,"3,006","2,257",749
,Niagara,150,110,40
,Oneida,99,81,18
,Onondaga,250,212,38
,Ontario,103,66,37
,Orange,100,89,11
,Orleans,34,24,10
,Oswego,80,64,16
,Putnam,99,82,17
,Schenectady,16,10,6
,Suffolk,370,250,120
,Suffolk County Police Department,"2,898","2,357",541
,Tioga,50,31,19
,Tompkins,46,40,6
,Ulster,59,56,3
,Warren,103,67,36
,Wayne,61,53,8
,Yates,45,24,21
NEW YORK-Nonmetropolitan Counties,Allegany,47,28,19
,Cattaraugus,93,69,24
,Cayuga,39,35,4
,Chautauqua,107,61,46
,Chenango,24,24,0
,Columbia,57,47,10
,Cortland,39,35,4
,Delaware,23,15,8
,Franklin,17,8,9
,Fulton,41,24,17
,Genesee,76,48,28
,Hamilton,7,6,1
,Otsego,18,16,2
,Schuyler,21,18,3
,Steuben,56,41,15
,St. Lawrence,34,33,1
,Sullivan,40,40,0
NORTH CAROLINA-Metropolitan Counties,Alamance,256,117,139
,Alexander,74,39,35
,Brunswick,259,165,94
,Buncombe,383,250,133
,Burke,108,85,23
,Cabarrus,324,200,124
,Caldwell,111,72,39
,Catawba,190,139,51
,Chatham,125,93,32
,Craven,124,74,50
,Cumberland,620,312,308
,Currituck,98,63,35
,Davidson,195,131,64
,Davie,86,55,31
,Durham,441,175,266
,Edgecombe,128,51,77
,Forsyth,490,205,285
,Franklin,106,70,36
,Gaston,215,124,91
,Gaston County Police Department,221,130,91
,Gates,17,16,1
,Guilford,637,255,382
,Haywood,111,55,56
,Henderson,195,135,60
,Hoke,115,61,54
,Iredell,218,162,56
,Johnston,190,114,76
,Jones,25,16,9
,Lincoln,155,105,50
,Madison,44,21,23
,Mecklenburg1,"1,215",318,897
,Nash,80,76,4
,New Hanover,473,361,112
,Onslow,243,123,120
,Orange,139,105,34
,Pamlico,48,15,33
,Pender,111,63,48
,Person,83,45,38
,Pitt,304,126,178
,Randolph,208,152,56
,Rockingham,150,96,54
,Rowan,185,130,55
,Stokes,66,48,18
,Union,270,192,78
,Wake,943,381,562
,Wayne,168,98,70
,Yadkin,74,41,33
NORTH CAROLINA-Nonmetropolitan Counties,Alleghany,29,13,16
,Anson,62,32,30
,Ashe,64,31,33
,Avery,49,26,23
,Beaufort,89,55,34
,Bertie,40,26,14
,Bladen,68,50,18
,Camden,21,18,3
,Carteret,89,60,29
,Caswell,55,35,20
,Cherokee,62,25,37
,Chowan,37,17,20
,Clay,43,16,27
,Cleveland,170,95,75
,Columbus,115,79,36
,Dare,139,63,76
,Duplin,102,75,27
,Graham,17,15,2
,Granville,102,52,50
,Greene,48,23,25
,Halifax,89,62,27
,Harnett,216,120,96
,Hertford,55,22,33
,Hyde,20,15,5
,Jackson,73,49,24
,Lee,104,68,36
,Lenoir,129,68,61
,Macon,69,50,19
,Martin,38,36,2
,McDowell,63,43,20
,Mitchell,18,17,1
,Montgomery,54,30,24
,Moore,133,71,62
,Northampton,54,32,22
,Pasquotank,67,44,23
,Perquimans,16,14,2
,Polk,39,29,10
,Richmond,68,57,11
,Robeson,227,132,95
,Rutherford,130,80,50
,Sampson,133,92,41
,Scotland,63,36,27
,Stanly,91,55,36
,Surry,103,62,41
,Swain,47,27,20
,Transylvania,79,60,19
,Tyrrell,16,10,6
,Vance,106,43,63
,Warren,67,36,31
,Washington,41,21,20
,Watauga,75,45,30
,Wilkes,122,72,50
,Wilson,164,92,72
,Yancey,36,15,21
NORTH DAKOTA-Metropolitan Counties,Burleigh,98,49,49
,Cass,157,103,54
,Grand Forks,39,32,7
,Morton,45,26,19
,Oliver,4,3,1
,Sioux,1,1,0
NORTH DAKOTA-Nonmetropolitan Counties,Adams,5,4,1
,Barnes,9,8,1
,Benson,4,4,0
,Billings,6,6,0
,Bottineau,15,11,4
,Bowman,5,4,1
,Burke,6,5,1
,Cavalier,11,5,6
,Dickey,5,4,1
,Divide,9,9,0
,Dunn,16,14,2
,Eddy,6,5,1
,Emmons,6,5,1
,Foster,3,3,0
,Golden Valley,6,5,1
,Grant,3,3,0
,Griggs,5,4,1
,Hettinger,5,5,0
,Kidder,4,3,1
,Lamoure,4,3,1
,Logan,2,2,0
,McHenry,7,7,0
,McIntosh,3,3,0
,McKenzie,29,18,11
,McLean,37,24,13
,Mercer,25,13,12
,Mountrail,22,11,11
,Nelson,6,5,1
,Pembina,15,8,7
,Pierce,8,4,4
,Ramsey,7,6,1
,Ransom,5,4,1
,Renville,5,5,0
,Richland,35,19,16
,Rolette,19,9,10
,Sargent,5,4,1
,Sheridan,3,3,0
,Slope,2,2,0
,Stark,27,23,4
,Steele,3,3,0
,Stutsman,11,9,2
,Towner,2,2,0
,Traill,13,8,5
,Walsh,16,9,7
,Ward,73,38,35
,Wells,3,3,0
,Williams,69,35,34
OHIO-Metropolitan Counties,Carroll,32,20,12
,Delaware,201,89,112
,Lorain,202,64,138
,Mahoning,223,212,11
,Morrow,46,24,22
,Pickaway,86,30,56
,Portage,130,75,55
,Stark,240,122,118
,Trumbull,139,51,88
,Union,53,35,18
OHIO-Nonmetropolitan Counties,Ashland,71,40,31
,Ashtabula,68,30,38
,Columbiana,32,23,9
,Coshocton,52,41,11
,Darke,62,36,26
,Erie,82,37,45
,Fayette,40,25,15
,Holmes,50,33,17
,Knox,61,47,14
,Muskingum,106,70,36
,Ottawa,61,41,20
,Putnam,52,27,25
,Seneca,80,38,42
,Washington,88,36,52
OKLAHOMA-Metropolitan Counties,Canadian,80,53,27
,Cleveland,183,68,115
,Comanche,38,27,11
,Cotton,13,5,8
,Creek,86,33,53
,Grady,27,19,8
,Le Flore,30,15,15
,Lincoln,32,15,17
,Logan,32,25,7
,McClain,30,17,13
,Okmulgee,15,14,1
,Osage,76,42,34
,Pawnee,26,8,18
,Rogers,41,36,5
,Sequoyah,48,20,28
,Tulsa,550,241,309
,Wagoner,57,31,26
OKLAHOMA-Nonmetropolitan Counties,Adair,10,10,0
,Alfalfa,12,6,6
,Atoka,22,8,14
,Beaver,13,7,6
,Beckham,38,13,25
,Blaine,16,7,9
,Bryan,21,18,3
,Caddo,41,18,23
,Carter,57,19,38
,Cherokee,28,19,9
,Choctaw,8,6,2
,Cimarron,8,3,5
,Coal,9,5,4
,Craig,24,11,13
,Custer,37,13,24
,Delaware,43,19,24
,Dewey,14,7,7
,Ellis,17,7,10
,Garfield,70,25,45
,Garvin,35,19,16
,Grant,10,5,5
,Greer,6,2,4
,Harmon,4,3,1
,Harper,9,6,3
,Haskell,14,4,10
,Hughes,13,6,7
,Jackson,36,12,24
,Jefferson,33,3,30
,Johnston,26,8,18
,Kay,21,15,6
,Kingfisher,17,8,9
,Kiowa,13,7,6
,Latimer,12,5,7
,Love,15,7,8
,Major,14,6,8
,Marshall,28,7,21
,Mayes,49,22,27
,McCurtain,31,15,16
,McIntosh,21,14,7
,Murray,12,6,6
,Noble,24,10,14
,Nowata,19,7,12
,Okfuskee,16,5,11
,Ottawa,39,15,24
,Payne,89,37,52
,Pittsburg,64,20,44
,Pontotoc,14,13,1
,Pottawatomie,28,25,3
,Pushmataha,12,7,5
,Roger Mills,12,7,5
,Seminole,40,16,24
,Stephens,66,21,45
,Texas,35,12,23
,Tillman,35,6,29
,Washington,52,24,28
,Washita,34,9,25
,Woods,7,6,1
,Woodward,38,11,27
OREGON-Metropolitan Counties,Benton,75,63,12
,Clackamas,440,340,100
,Columbia,44,40,4
,Deschutes,225,157,68
,Jackson,166,108,58
,Josephine,52,11,41
,Lane,256,60,196
,Linn,180,59,121
,Marion,342,89,253
,Multnomah,737,104,633
,Polk,43,13,30
,Washington,560,258,302
,Yamhill,88,68,20
OREGON-Nonmetropolitan Counties,Baker,23,11,12
,Clatsop,50,23,27
,Coos,86,21,65
,Crook,28,17,11
,Curry,37,37,0
,Douglas,141,104,37
,Gilliam,7,6,1
,Harney,18,12,6
,Hood River,28,17,11
,Jefferson,38,15,23
,Lake,21,21,0
,Lincoln,87,27,60
,Malheur,58,50,8
,Morrow,31,17,14
,Sherman,7,6,1
,Tillamook,79,48,31
,Umatilla,95,62,33
,Union,30,16,14
,Wallowa,12,12,0
,Wasco,30,17,13
,Wheeler,3,3,0
PENNSYLVANIA-Metropolitan Counties,Adams,17,11,6
,Allegheny,184,153,31
,Allegheny County Police Department,261,204,57
,Beaver,33,26,7
,Berks,106,93,13
,Blair,29,25,4
,Butler,23,20,3
,Cumberland,33,27,6
,Erie,44,38,6
,Lancaster,55,50,5
,Lycoming,16,11,5
,Mercer,18,15,3
,Monroe,46,22,24
,Montgomery,130,106,24
,Northampton,60,55,5
,Pike,21,17,4
,Washington,27,27,0
,Westmoreland,61,53,8
,Wyoming,6,5,1
,York,120,110,10
PENNSYLVANIA-Nonmetropolitan Counties,Bedford,11,10,1
,Bradford,11,9,2
,Clarion,11,8,3
,Elk,5,4,1
,Indiana,19,16,3
,Jefferson,9,8,1
,Lawrence,23,18,5
,Schuylkill,19,15,4
,Snyder,6,6,0
,Tioga,8,6,2
,Union,9,8,1
,Warren,11,9,2
,Wayne,16,13,3
SOUTH CAROLINA-Metropolitan Counties,Aiken,241,131,110
,Anderson,371,209,162
,Berkeley,152,133,19
,Calhoun,30,28,2
,Charleston,757,263,494
,Chester,97,56,41
,Florence,227,188,39
,Greenville,516,423,93
,Horry County Police Department,278,235,43
,Jasper,39,34,5
,Kershaw,70,62,8
,Lancaster,148,101,47
,Laurens,75,68,7
,Lexington,442,283,159
,Pickens,131,110,21
,Richland,589,494,95
,Saluda,57,20,37
,Spartanburg,338,310,28
,Sumter,143,119,24
,Union,33,30,3
,York,209,180,29
SOUTH CAROLINA-Nonmetropolitan Counties,Abbeville,32,30,2
,Allendale,15,13,2
,Bamberg,16,13,3
,Barnwell,44,29,15
,Cherokee,57,49,8
,Chesterfield,56,44,12
,Clarendon,57,47,10
,Colleton,123,60,63
,Dillon,49,40,9
,Georgetown,156,76,80
,Lee,33,25,8
,Marion,64,32,32
,Newberry,104,49,55
,Oconee,146,85,61
,Orangeburg,126,88,38
,Williamsburg,39,35,4
SOUTH DAKOTA-Metropolitan Counties,Custer,12,11,1
,Lincoln,18,16,2
,McCook,7,6,1
,Meade,53,16,37
,Minnehaha,209,78,131
,Pennington,373,76,297
,Turner,10,8,2
,Union,26,8,18
SOUTH DAKOTA-Nonmetropolitan Counties,Aurora,4,3,1
,Beadle,30,6,24
,Bennett,4,3,1
,Bon Homme,8,3,5
,Brookings,21,13,8
,Brown,51,16,35
,Brule,9,4,5
,Buffalo,1,1,0
,Butte,7,5,2
,Campbell,2,2,0
,Charles Mix,20,6,14
,Clark,3,3,0
,Clay,11,7,4
,Codington,26,10,16
,Corson,5,4,1
,Davison,10,7,3
,Day,5,3,2
,Deuel,7,3,4
,Dewey,4,3,1
,Douglas,3,3,0
,Edmunds,7,4,3
,Fall River,16,6,10
,Faulk,10,4,6
,Grant,8,4,4
,Gregory,3,2,1
,Haakon,2,2,0
,Hamlin,5,4,1
,Hand,4,3,1
,Hanson,2,2,0
,Harding,3,2,1
,Hughes,48,5,43
,Hutchinson,3,3,0
,Hyde,2,2,0
,Jackson,4,4,0
,Jerauld,5,4,1
,Jones,2,2,0
,Kingsbury,6,5,1
,Lake,9,5,4
,Lawrence,39,14,25
,Lyman,5,4,1
,Marshall,11,6,5
,McPherson,2,2,0
,Mellette,4,4,0
,Miner,4,3,1
,Moody,10,5,5
,Perkins,7,6,1
,Potter,3,2,1
,Roberts,31,4,27
,Sanborn,4,3,1
,Shannon,1,1,0
,Spink,13,8,5
,Stanley,6,5,1
,Sully,3,3,0
,Todd,2,1,1
,Tripp,5,4,1
,Walworth,12,3,9
,Yankton,30,12,18
,Ziebach,2,2,0
TENNESSEE-Metropolitan Counties,Anderson,176,62,114
,Blount,285,142,143
,Bradley,204,101,103
,Campbell,71,67,4
,Cannon,34,16,18
,Carter,109,53,56
,Cheatham,67,33,34
,Chester,48,14,34
,Crockett,32,15,17
,Dickson,136,65,71
,Fayette,81,41,40
,Grainger,46,20,26
,Hamblen,101,35,66
,Hamilton,382,163,219
,Hartsville/Trousdale,40,19,21
,Hawkins,106,58,48
,Hickman,43,25,18
,Jefferson,102,51,51
,Knox,965,463,502
,Loudon,81,48,33
,Macon,56,30,26
,Madison,229,72,157
,Marion,49,20,29
,Maury,159,80,79
,Montgomery,334,100,234
,Morgan,46,22,24
,Polk,50,18,32
,Roane,76,43,33
,Robertson,155,46,109
,Rutherford,417,224,193
,Sequatchie,49,23,26
,Shelby,"1,930",606,"1,324"
,Smith,58,24,34
,Sullivan,255,114,141
,Sumner,277,97,180
,Tipton,94,54,40
,Unicoi,39,27,12
,Union,46,26,20
,Washington,221,91,130
,Williamson,260,150,110
,Wilson,243,127,116
TENNESSEE-Nonmetropolitan Counties,Bedford,86,36,50
,Benton,58,17,41
,Bledsoe,13,13,0
,Carroll,64,24,40
,Claiborne,91,33,58
,Clay,23,14,9
,Cocke,65,41,24
,Coffee,98,46,52
,Cumberland,105,47,58
,Decatur,37,16,21
,DeKalb,45,25,20
,Dyer,79,30,49
,Fentress,30,17,13
,Franklin,49,43,6
,Gibson,73,31,42
,Giles,65,30,35
,Greene,149,57,92
,Grundy,37,17,20
,Hancock,33,14,19
,Hardeman,75,29,46
,Hardin,47,22,25
,Haywood,48,20,28
,Henderson,67,31,36
,Henry,65,33,32
,Houston,23,12,11
,Humphreys,37,23,14
,Jackson,37,12,25
,Johnson,48,18,30
,Lake,19,8,11
,Lauderdale,63,24,39
,Lawrence,94,47,47
,Lewis,29,15,14
,Lincoln,66,31,35
,Marshall,54,25,29
,McMinn,81,33,48
,McNairy,37,17,20
,Meigs,37,12,25
,Monroe,74,45,29
,Moore,28,14,14
,Obion,61,26,35
,Overton,54,23,31
,Perry,39,16,23
,Pickett,16,10,6
,Putnam,139,63,76
,Rhea,53,53,0
,Scott,67,30,37
,Sevier,229,104,125
,Stewart,43,20,23
,Van Buren,20,11,9
,Warren,90,50,40
,Wayne,52,17,35
,Weakley,44,21,23
,White,69,30,39
TEXAS-Metropolitan Counties,Aransas,72,24,48
,Archer,18,9,9
,Austin,65,39,26
,Bandera,65,30,35
,Bell,280,93,187
,Bowie,44,37,7
,Brazoria,350,168,182
,Brazos,222,101,121
,Burleson,37,15,22
,Caldwell,103,29,74
,Callahan,13,5,8
,Chambers,93,47,46
,Clay,23,12,11
,Collin,475,163,312
,Comal,262,127,135
,Coryell,71,31,40
,Dallas,"2,164",429,"1,735"
,Ector,207,82,125
,Ellis,226,85,141
,El Paso,"1,076",233,843
,Fort Bend,759,543,216
,Goliad,27,12,15
,Gregg,249,106,143
,Guadalupe,217,88,129
,Hardin,71,32,39
,Hays,293,135,158
,Hidalgo,756,281,475
,Hood,134,51,83
,Hudspeth,41,15,26
,Hunt,131,43,88
,Jones,27,8,19
,Kaufman,217,87,130
,Kendall,75,47,28
,Lampasas,35,19,16
,Liberty,75,52,23
,Lubbock,476,202,274
,Lynn,21,7,14
,Martin,9,5,4
,McLennan,339,115,224
,Medina,65,29,36
,Midland,186,73,113
,Montgomery,776,443,333
,Newton,23,12,11
,Nueces,286,67,219
,Oldham,11,6,5
,Randall,180,79,101
,Robertson,32,14,18
,Rusk,77,39,38
,San Patricio,104,51,53
,Smith,340,171,169
,Taylor,223,91,132
,Travis,"1,626",334,"1,292"
,Upshur,74,46,28
,Waller,78,56,22
,Webb,316,249,67
,Wichita,200,43,157
,Williamson,502,216,286
,Wilson,73,33,40
TEXAS-Nonmetropolitan Counties,Andrews,33,12,21
,Angelina,103,90,13
,Bee,42,18,24
,Blanco,27,12,15
,Borden,3,2,1
,Briscoe,3,3,0
,Brown,65,27,38
,Burnet,107,45,62
,Calhoun,69,26,43
,Camp,18,7,11
,Castro,19,8,11
,Cherokee,76,33,43
,Childress,21,5,16
,Cochran,13,7,6
,Colorado,47,19,28
,Comanche,31,10,21
,Concho,11,7,4
,Dawson,19,7,12
,Deaf Smith,36,12,24
,DeWitt,47,16,31
,Eastland,29,12,17
,Edwards,11,5,6
,Erath,62,22,40
,Fannin,25,17,8
,Fayette,48,25,23
,Floyd,10,6,4
,Freestone,35,15,20
,Frio,41,19,22
,Gaines,26,14,12
,Garza,32,11,21
,Gillespie,51,30,21
,Glasscock,5,5,0
,Gonzales,53,19,34
,Gray,39,14,25
,Grimes,54,28,26
,Hamilton,14,5,9
,Hansford,12,7,5
,Hardeman,11,7,4
,Hartley,5,5,0
,Haskell,11,4,7
,Hemphill,18,10,8
,Henderson,151,80,71
,Hopkins,58,23,35
,Howard,52,17,35
,Hutchinson,38,17,21
,Jack,28,10,18
,Jackson,36,14,22
,Jasper,45,21,24
,Karnes,43,29,14
,Kenedy,19,12,7
,Kent,6,3,3
,Kerr,93,46,47
,Kimble,13,8,5
,Kinney,16,7,9
,Knox,9,3,6
,Lamar,76,27,49
,Lamb,27,11,16
,La Salle,43,23,20
,Lavaca,33,14,19
,Lee,41,13,28
,Leon,42,25,17
,Limestone,86,22,64
,Live Oak,48,15,33
,Llano,55,30,25
,Loving,5,4,1
,Madison,27,12,15
,Marion,12,11,1
,Matagorda,78,39,39
,McCulloch,14,8,6
,McMullen,13,11,2
,Milam,60,17,43
,Mills,11,7,4
,Mitchell,20,5,15
,Moore,47,16,31
,Motley,4,4,0
,Nacogdoches,61,20,41
,Nolan,31,12,19
,Ochiltree,19,8,11
,Palo Pinto,52,25,27
,Panola,57,28,29
,Parmer,18,6,12
,Pecos,38,23,15
,Polk,110,54,56
,Rains,25,10,15
,Reagan,22,14,8
,Real,9,4,5
,Reeves,59,23,36
,Refugio,47,18,29
,Runnels,25,7,18
,Schleicher,12,6,6
,Scurry,42,8,34
,Shackelford,16,5,11
,Shelby,33,15,18
,Sherman,10,5,5
,Starr,102,48,54
,Stephens,27,26,1
,Sterling,5,4,1
,Stonewall,11,3,8
,Sutton,14,4,10
,Swisher,12,4,8
,Terry,32,13,19
,Titus,62,27,35
,Upton,22,12,10
,Val Verde,63,41,22
,Van Zandt,77,30,47
,Walker,84,40,44
,Washington,59,30,29
,Wharton,74,42,32
,Wheeler,23,9,14
,Willacy,44,16,28
,Winkler,28,9,19
,Wood,63,26,37
,Young,40,15,25
UTAH-Metropolitan Counties,Box Elder,82,26,56
,Cache,148,113,35
,Davis,321,140,181
,Juab,25,15,10
,Morgan,13,11,2
,Salt Lake County Unified Police Department,569,420,149
,Tooele,81,29,52
,Utah,371,140,231
,Washington,160,45,115
,Weber,72,72,0
UTAH-Nonmetropolitan Counties,Beaver,73,23,50
,Carbon,48,41,7
,Daggett,20,12,8
,Duchesne,59,20,39
,Emery,41,28,13
,Garfield,29,13,16
,Grand,32,19,13
,Iron,31,28,3
,Kane,48,15,33
,Millard,54,33,21
,Piute,3,3,0
,Rich,10,4,6
